former_outbreak_code,country,ADM1,ADM2,ADM3,ADM4,city_village,GPS_x,GPS_y,exact_location,includes_health_facility_sampling,start_date,end_date,outbreak_year,outbreak_month,human_cases,livestock_cases,outbreak_type,n_human_cases,n_livestock_cases,n_total_cases,ref_name,ref_DOI_URL,WAHIS_ref_number,notes,exclude,exclude_reason
,Tanzania,Kigoma Region,Kigoma District,,,,29.66,-4.8043,0,0,2011-05-01,2011-06-30,2011,May,0,1,LS,,1,1,Kifaro_etal_2014,http://dx.doi.org/10.4102/ ojvr.v81i2.717 ,,"Some ambiguity about the date of sampling because September-October 2011 is also mentioned, but pretty confident these are the correct dates; Approximate location of outbreak determined by referencing Figure 1 in Kifaro et al. 2014",,
,Tanzania,Kigoma Region,Kibondo District,,,,30.4877,-3.5881,0,0,2011-05-01,2011-06-30,2011,May,0,1,LS,,4,4,Kifaro_etal_2014,http://dx.doi.org/10.4102/ ojvr.v81i2.717 ,,"Some ambiguity about the date of sampling because September-October 2011 is also mentioned, but pretty confident these are the correct dates; Approximate location of outbreak determined by referencing Figure 1 in Kifaro et al. 2014",,
,Tanzania,Kigoma Region,Buhigwe District,,,,29.78823,-4.4284,0,0,2011-05-01,2011-06-30,2011,May,0,1,LS,,3,3,Kifaro_etal_2014,http://dx.doi.org/10.4102/ ojvr.v81i2.717 ,,"Some ambiguity about the date of sampling because September-October 2011 is also mentioned, but pretty confident these are the correct dates; Approximate location of outbreak determined by referencing Figure 1 in Kifaro et al. 2014",,
87,Tanzania,Morogoro Region,Kilombero District,,,,36.2336,-8.2828,0,0,2012-03-01,2012-08-31,2012,March,1,0,HU,16,,16,Sumaye_etal_2015,https://doi.org/10.1371/journal.pntd.0003536,,"Approximate location chosen to match that of the Sumaye et al. 2013 study, since Sumaye et al. 2015 mentions sampling in the same ""hotspots of RVF transmission in the livestock populations""",,
88,Tanzania,Mara Region,Bunda District,,,,,,0,1,2014-08-01,2014-10-31,2014,August,1,0,HU,2,,2,Ahmed_etal_2018,https://doi.org/10.1186/s12879-018-3183-9,,A hospital-based study; Districts listed all had IgM-positive humans,,
88,Tanzania,Mara Region,Serengeti District,,,,,,0,1,2014-08-01,2014-10-31,2014,August,1,0,HU,1,,1,Ahmed_etal_2018,https://doi.org/10.1186/s12879-018-3183-9,,A hospital-based study; Districts listed all had IgM-positive humans,,
88,Tanzania,Arusha Region,Ngorongoro District,,,,,,0,1,2014-08-01,2014-10-31,2014,August,1,0,HU,3,,3,Ahmed_etal_2018,https://doi.org/10.1186/s12879-018-3183-9,,A hospital-based study; Districts listed all had IgM-positive humans,,
89,Tanzania,Morogoro Region,Morogoro District,,,,37.772134,-6.779623,0,0,2014-06-01,2015-10-31,2014,June,0,1,LS,,27,27,Matiko_etal_2018,https://doi.org/10.1371/journal.pntd.0006931,,Approximate location of outbreak determined by referencing Figure 1 in Matiko et al. 2018 and placing location near IgM-positive villages,,
90,Tanzania,Mbeya Region,Kyela District,,,,33.829551,-9.606575,0,0,2014-06-01,2015-10-31,2014,June,0,1,LS,,3,3,Matiko_etal_2018,https://doi.org/10.1371/journal.pntd.0006931,,Approximate location of outbreak determined by referencing Figure 1 in Matiko et al. 2018 and placing location near IgM-positive villages,,
,Tanzania,Mbeya Region,Kyela District,,,,,,0,0,2015-09-01,,2015,September,0,1,LS,,1,1,Salekwa_etal_2019,https://doi.org/10.4269/ajtmh.18-0798,,"Somewhat ambiguous, but the text seems to indicate that the Kyela District was the sole District sampled within the Mbeya Region",,
92,Tanzania,Kilimanjaro Region,Moshi District,,,,,,0,0,2018-05-16,,2018,May,1,1,HU_LS,1,11,12,deGlanville_etal_2022,https://doi.org/10.1093/trstmh/trac076,,Livestock cases reported in Arusha Chini and Kindi Wards in de Glanville et al. 2022; Associated human case reported in Kilema Kusini Ward in Madut et al. 2024,,
92,Tanzania,Kilimanjaro Region,Moshi Urban District,,,,,,0,0,2018-07-03,,2018,July,1,1,HU_LS,1,1,2,deGlanville_etal_2022,https://doi.org/10.1093/trstmh/trac076,,Livestock case reported in Rau Ward in de Glanville et al. 2022; Associated human case reported in Pasua Ward in Madut et al. 2024,,
92,Tanzania,Kilimanjaro Region,Hai District,,,,,,0,0,2018-07-15,,2018,July,1,1,HU_LS,1,2,3,deGlanville_etal_2022,https://doi.org/10.1093/trstmh/trac076,,Livestock cases reported in Machame Mashariki Ward in de Glanville et al. 2022; Associated human case reported in Hai Mjini Ward in Madut et al. 2024,,
,Tanzania,Manyara Region,Simanjiro District,,,,,,0,0,2018-07-01,,2018,July,1,0,HU,1,,1,Madut_etal_2024,https://doi.org/10.1093/infdis/jiae562 ,,"Assuming a July start date for this outbreak, but it's a little unclear",,
93,Tanzania,Kigoma Region,Buhigwe District,,,,,,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,2,,2,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,,Includes both community-based and health facility-based sampling; Additional case data attested in Rugarabamu et al. 2022 (assuming these two studies have distinct sampling pools),,
94,Tanzania,Dar es Salaam Region,Kinondoni District,,,,,,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,6,,6,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,,Includes both community-based and health facility-based sampling; Additional case data attested in Rugarabamu et al. 2022 (assuming these two studies have distinct sampling pools),,
95,Tanzania,Morogoro Region,Mvomero District,,,,,,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,2,,2,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,,Includes both community-based and health facility-based sampling; Additional case data attested in Rugarabamu et al. 2022 (assuming these two studies have distinct sampling pools),,
96,Tanzania,Mbeya Region,Kyela District,,,,,,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,1,,1,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,,Includes both community-based and health facility-based sampling,,
97,Tanzania,Dodoma Region,Kondoa District,,,,,,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,2,,2,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,,Includes both community-based and health facility-based sampling; Additional case data attested in Rugarabamu et al. 2022 (assuming these two studies have distinct sampling pools),,
98,Tanzania,Tanga Region,Kilindi District,,,,,,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,2,,2,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,,Includes both community-based and health facility-based sampling; Additional case data attested in Rugarabamu et al. 2022 (assuming these two studies have distinct sampling pools),,
,Tanzania,Rukwa Region,Kalambo District,,,,,,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,1,,1,Rugarabamu_etal_2022,https://doi.org/10.1186/s40249-022-00959-z,,Health facility-based sampling,,
,Tanzania,Mwanza Region,Ukerewe District,,,,,,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,1,,1,Rugarabamu_etal_2022,https://doi.org/10.1186/s40249-022-00959-z,,Health facility-based sampling,,
100,Tanzania,Kilimanjaro Region,Moshi District,,,,37.36785,-3.557538,0,0,2020-03-01,2020-06-30,2020,March,1,1,HU_LS,7,11,18,Kumalija_etal_2021,https://doi.org/10.1080/16549716.2021.1957554,,Approximate location of outbreak determined by referencing Figure 1 in Kumalija et al. 2021; Counting cases according to PCR data given in Table 4,,
