OB_code,Cont,Reg,Cty_Dist,S_Cty,Villge,GPS_x,GPS_y,St_date,En_date,OB_Yr,OB_Mo,Landuse_changes,Presence_of_previous_ob,Pr_largeob,Pr_sporob,Pr_ngb.Arob,Hu_Cs,LS_Cs,OB_HU_LS,No_HU_cases,No_LS_cases,CASES,Type_cases,Predominant_LS_species,Size,Density_classification,Cattle_density,Sheep_density,Goat_density,Human_population_density,Host Density,Production_system,Annual_rainfall_3rd_yr_prior,Annual_rainfall_2nd_yr_prior,Annual_rainfall_prec_yr_to_OB,Annual_rainfall_OB_yr,Monthly_rainfall_OB_month,Monthly_rainfall_1st_month_prior_OB,Monthly_rainfall_2nd_month_prior_OB,Monthly_rainfall_3rd_month_prior_OB,Annual_temp_3rd_yr_prior_OB,Annual_temp_2nd_yr_prior_OB,Annual_temp_prec_yr_prior_OB,Annual_temp_OB_yr,Monthly_temp_OB_month,Monthly_temp_1st_month_prior_OB,Monthly_temp_2nd_month_prior_OB,Monthly_temp_3rd_month_prior_OB,Annual_humidity_3rd_yr_prior_OB,Annual_humidity_2nd_yr_prior_OB,Annual_humidity_prec_yr_prior_OB,Annual_humidity_OB_yr,Monthly_humidity_OB_month,Monthly_humidity_1st_month_prior_OB,Monthly_humidity_2nd_month_prior_OB,Monthly_humidity_3rd_month_prior_OB,Di_WLpark,Altitude,Elevation_below_1000,NDVI_change_1st_month_prior_OB,NDVI_change_2nd_month_prior_OB,NDVI_change_3rd_month_prior_OB,Average_change_NDVI,Soils,Elevation_Classification,OB_month_ndvi,First_month_prior_ndvi,Second_month_prior_ndvi,Third_month_prior_ndvi,Average_NDVI_to_OB,Positive_change_in_NDVI,Soils_new,Types_landuse_changes,Di_WLpark
11,Kenya,North_Eastern,Garissa,Ijara ,Fafi,40.25089758,-0.43266492,40870,40915,2011,November,,1,1,1,1,0,1,LS,,3,3,1,Goats,small,Medium,22.33369003,57.38273587,99.25700018,58.05527082,237.0286969,Extensive,364.0442894,417.3619579,406.1777619,493.4567749,213.8441467,135.5618591,8.559456825,2.846504211,33.90000105,34.51666737,34.24166711,34.14166784,33.60000229,33.60000229,33.40000153,31.80000114,62.19,61,64.38,61.88,76.12,69.88,59.12,60.19,118,135.0970193,1,0.042,0.18195,0.226,0.149983333,Planosols,Low,0.3687,0.3267,0.18675,0.1427,0.218716667,2,Clay soils,,118
12,Kenya,Coastal,Lamu,Witu,Witu,40.43090174,-2.38248559,40901,40915,2011,December,,1,0,1,1,0,1,LS,,7,7,1,Cattle,large,Low,22.94024857,10.02342256,22.14077438,9.525399067,64.62984457,Extensive,479.7802844,429.2931888,591.7196272,451.0533852,84.67498779,78.37260437,33.04053116,17.44057655,31.65000041,32.30000019,32.06666756,31.9333334,32.29999924,32,31.10000038,30.39999962,75.69,74.88,76,74.94,77.94,80.06,79.88,74.38,80.7,17.79651783,1,-0.1757,-0.02045,0.0989,-0.032416667,other,Low,0.66165,0.83735,0.6821,0.56275,0.694066667,1,Loam soils,,80.7
13,Kenya,North_Eastern,Garissa,Ijara ,Ijara ,40.82264567,-1.52210528,41395,,2013,May,,1,1,1,1,0,1,LS,,18,18,1,Goats,small,Medium,32.16720933,57.98435038,66.22623674,57.9843372,214.3621337,Extensive,955.4369812,959.2494507,756.177351,877.6866398,259.885498,113.3374329,121.1654663,6.315332413,32.29166746,32.16666746,31.95833429,32.16666651,31.60000038,33.29999924,34.29999924,34.20000076,71.31,67.81,67.19,69.94,83.56,81.69,64.75,58.81,41.2,54.18841966,1,0.06735,-0.00215,0.1288,0.064666667,Planosols,Low,0.6721,0.60475,0.67425,0.5433,0.607433333,2,Clay soils,,41.2
14,Kenya,Central,Muranga,Kandara ,Ngararia ,37.02083493,-0.93262001,41760,,2014,May,1,1,0,1,1,1,1,HU_LS,3,7,10,2,Cattle,large,Medium,133.6737288,26.03389831,79.75847458,746.3682864,985.8343881,Intensive,951.6959924,1348.910482,1145.147907,817.3578854,91.95373535,92.38394928,139.0617981,69.95591736,27.12500016,26.85833359,27.16666714,26.94166724,26.60000038,27.10000038,29.20000076,29.5,70.62,70.81,72,71.06,74.5,74.94,72.56,69.06,34.9,1582.571004,0,0.02365,0.05935,0.0867,0.056566667,Nitisols,High,0.80195,0.7783,0.7426,0.71525,0.745383333,2,Clay soils,Industrial,34.9
15,Kenya,North_Eastern,Garissa,Garissa,Garissa,39.59074632,-0.24856877,42524,,2016,June,,1,1,1,1,0,1,LS,,7,7,1,Goats,small,High,52.96466974,103.374808,237.0122888,50.73637292,444.0881394,Extensive,232.5365873,264.7282894,362.1856476,294.9969193,0.124424413,2.966637611,42.99237442,9.757511139,34.30833435,34.2250007,34.24166711,34.75000159,33.10000229,34.40000153,36.10000229,38,58.75,57.69,57.56,54.19,57.5,59.94,58.12,46.38,40,201.0895896,1,-0.03855,-0.01605,0.0117,-0.0143,Planosols,Low,0.24225,0.2808,0.2583,0.23055,0.25655,1,Clay soils,,40
16,Kenya,North_Eastern,Isiolo,Saleti ,Saleti ,38.56104475,0.48991436,43245,43311,2018,May,,1,1,1,1,1,1,HU_LS,29,68,97,2,Goats,small,High,104.5717256,232.043659,365.6611227,3.700312762,705.97682,Extensive,327.5055561,208.9849963,148.6978746,551.1489738,NA,219.2763252,193.9537001,6.444432497,33.30000083,33.78333426,33.50833448,33.2000006,32.20000076,33.5,34.79999924,35.60000229,52.56,48,51.31,53.94,70.31,73.19,61.62,44.44,70,511.3880521,1,-0.05255,0.00625,0.07965,0.011116667,other,Medium,0.26105,0.3136,0.2548,0.1814,0.249933333,1,Clay soils,,70
17,Kenya,North_Eastern,Isiolo,Garbatulla,Garbatulla,38.56104475,0.48991436,43245,43311,2018,May,,1,1,1,1,0,1,LS,,12,12,1,Goats,small,High,35.50667365,128.7246794,159.0999738,10.07170269,333.4030296,Extensive,549.7329043,390.9396383,223.4642769,625.2113369,13.1972723,305.9154663,136.5005951,5.668034554,33.30000083,33.78333426,33.50833448,33.2000006,32.20000076,33.5,34.79999924,35.60000229,52.56,48,51.31,53.94,70.31,73.19,61.62,44.44,47.2,511.3880521,1,-0.0706,0.05485,0.2115,0.06525,other,Medium,0.4124,0.483,0.35755,0.2009,0.34715,1,Clay soils,,47.2
18,Kenya,North_Eastern,Garissa,Garissa,Garissa,39.59074632,-0.24856877,43245,43311,2018,May,,1,1,1,1,0,1,LS,,10,10,1,Goats,small,High,71.68399168,139.9106029,320.7796258,50.73637292,583.1105933,Extensive,362.1856476,294.9969193,173.6151522,508.3493381,208.7600708,639.9273682,455.5905151,12.44965839,34.24166711,34.75000159,34.49166775,34.19166803,33.5,34.60000229,35.90000153,36.60000229,57.56,54.19,55.25,59.44,72.19,72.62,62.25,46.31,40,201.0895896,1,-0.15305,0.22505,0.3126,0.1282,Planosols,Low,0.4841,0.63715,0.25905,0.1715,0.3559,1,Clay soils,,40
19,Kenya,North_Eastern,Wajir,Eldas,Basir ,39.51882807,2.44880533,43245,43311,2018,May,,1,1,1,1,1,1,HU_LS,21,22,43,2,Goats,small,High,87.78226858,355.9178618,580.357236,19.91651665,1043.973883,Extensive,234.5860661,281.4355749,231.2231461,528.5754783,6.742080688,147.3369598,75.52603912,6.00369072,32.12500079,32.44166756,32.20000045,31.83333397,30.60000038,31.70000076,33.90000153,34.79999924,53.69,54.31,38.94,54.25,79.56,79.56,59.56,39.94,176,406.8951358,1,0.03875,0.138,0.1452,0.107316667,other,Low,0.32575,0.287,0.18775,0.18055,0.218433333,2,Clay soils,,176
20,Kenya,North_Eastern,Wajir,Eldas,Eldas,39.55088505,2.52706954,43245,43312,2018,May,,1,1,1,1,0,1,LS,,8,8,1,Goats,small,High,87.78226858,355.9178618,580.357236,19.91651665,1043.973883,Extensive,234.5860661,281.4355749,231.2231461,528.5754783,6.742080688,147.3369598,75.52603912,6.00369072,32.12500079,32.44166756,32.20000045,31.83333397,30.60000038,31.70000076,33.90000153,34.79999924,53.69,54.31,38.94,54.25,79.56,79.56,59.56,39.94,176,445.2155138,1,0.03875,0.138,0.1452,0.107316667,other,Low,0.32575,0.287,0.18775,0.18055,0.218433333,2,Sandy soils,,176
21,Kenya,North_Eastern,Mandera,Elwak,Elwak,41.00985584,2.97146354,43245,43311,2018,May,,1,1,1,1,0,1,LS,,2,2,1,Goats,small,Medium,37.13095238,71.953125,155.3638393,54.66079894,319.1087156,Extensive,361.9066736,299.2107052,332.8887244,577.3280855,56.81142426,170.2298279,93.40976715,4.721770287,33.35000086,33.63333368,33.4083341,33.05833451,31.80000114,33.10000229,35.60000229,36.20000076,54.75,52.5,51.81,56.62,74.12,73.25,52.44,41.38,349,392.1175154,1,0.24755,0.27425,0.4192,0.313666667,other,Low,0.64995,0.4024,0.3757,0.23075,0.336283333,2,Clay soils,,349
22,Kenya,North_Eastern,Marsabit,Marsabit,Marsabit,37.89983449,2.45009563,43245,43311,2018,May,1,1,1,1,1,1,1,HU_LS,8,26,34,2,Goats,small,Medium,48.01636364,53.88,105.4254545,6.480947676,213.8027659,Extensive,331.8112722,305.3199271,289.0006796,519.8330365,8.765613556,246.226059,148.3484955,7.920332909,31.29166698,31.53333394,31.35000038,30.95833413,30.30000114,30.70000076,31.80000114,32.60000229,50.88,49.5,48.75,55.56,70.06,77.94,61.19,40.62,1,743.8160555,1,0.0206,0.28205,0.3774,0.226683333,other,Medium,0.5282,0.5076,0.24615,0.1508,0.301516667,2,Sandy soils,Industrial,1
23,Kenya,North_Eastern,Tana_River,Tana_Delta ,Dhidhe_Ade,40.26515673,-2.55091867,43262,43311,2018,June,1,1,1,1,1,1,1,HU_LS,,7,7,1,Sheep,small,Low,13.67691572,20.95618926,17.90720089,8.774697319,61.3150032,Extensive,426.5169628,224.2802141,295.8383447,461.655036,56.54423523,156.0853424,75.09960938,32.73636627,32.06666724,32.38333384,32.18333356,31.89166752,30,30.80000114,32.90000153,33.5,71.56,67.12,68.88,72.81,80.88,85.5,79.56,71.38,92,1.319382747,1,0.1015,0.3464,0.1955,0.214466667,other,Low,0.70455,0.60305,0.35815,0.50905,0.490083333,2,Clay soils,Industrial,92
