former_outbreak_code,country,ADM1,ADM2,ADM3,ADM4,city_village,exact_location,includes_health_facility_sampling,start_date,end_date,outbreak_year,outbreak_month,human_cases,livestock_cases,outbreak_type,n_human_cases,n_livestock_cases,n_total_cases,ref_name,ref_DOI_URL,WAHIS_ref_number,notes,GPS_x,GPS_y
NA,Tanzania,Kigoma Region,Kigoma District,NA,NA,NA,0,0,2011-05-01,2011-06-30,2011,May,0,1,LS,NA,1,1,Kifaro_etal_2014,http://dx.doi.org/10.4102/ojvr.v81i2.717 ,NA,"Some ambiguity about the date of sampling because September-October 2011 is also mentioned, but pretty confident these are the correct dates; Approximate location of outbreak determined by referencing Figure 1 in Kifaro et al. 2014",29.66,-4.8043
NA,Tanzania,Kigoma Region,Kibondo District,NA,NA,NA,0,0,2011-05-01,2011-06-30,2011,May,0,1,LS,NA,4,4,Kifaro_etal_2014,http://dx.doi.org/10.4102/ojvr.v81i2.717 ,NA,"Some ambiguity about the date of sampling because September-October 2011 is also mentioned, but pretty confident these are the correct dates; Approximate location of outbreak determined by referencing Figure 1 in Kifaro et al. 2014",30.4877,-3.5881
NA,Tanzania,Kigoma Region,Buhigwe District,NA,NA,NA,0,0,2011-05-01,2011-06-30,2011,May,0,1,LS,NA,3,3,Kifaro_etal_2014,http://dx.doi.org/10.4102/ojvr.v81i2.717 ,NA,"Some ambiguity about the date of sampling because September-October 2011 is also mentioned, but pretty confident these are the correct dates; Approximate location of outbreak determined by referencing Figure 1 in Kifaro et al. 2014",29.78823,-4.4284
87,Tanzania,Morogoro Region,Kilombero District,NA,NA,NA,0,0,2012-03-01,2012-08-31,2012,March,1,0,HU,16,NA,16,Sumaye_etal_2015,https://doi.org/10.1371/journal.pntd.0003536,NA,"Approximate location chosen to match that of the Sumaye et al. 2013 study, since Sumaye et al. 2015 mentions sampling in the same ""hotspots of RVF transmission in the livestock populations""",36.2336,-8.2828
88,Tanzania,Mara Region,Bunda District,NA,NA,NA,0,1,2014-08-01,2014-10-31,2014,August,1,0,HU,2,NA,2,Ahmed_etal_2018,https://doi.org/10.1186/s12879-018-3183-9,NA,A hospital-based study; Districts listed all had IgM-positive humans,33.97861553877106,-2.1165254027322153
88,Tanzania,Mara Region,Serengeti District,NA,NA,NA,0,1,2014-08-01,2014-10-31,2014,August,1,0,HU,1,NA,1,Ahmed_etal_2018,https://doi.org/10.1186/s12879-018-3183-9,NA,A hospital-based study; Districts listed all had IgM-positive humans,34.88753272078661,-1.706014903065907
88,Tanzania,Arusha Region,Ngorongoro District,NA,NA,NA,0,1,2014-08-01,2014-10-31,2014,August,1,0,HU,3,NA,3,Ahmed_etal_2018,https://doi.org/10.1186/s12879-018-3183-9,NA,A hospital-based study; Districts listed all had IgM-positive humans,35.44804037395773,-2.1666569334331487
89,Tanzania,Morogoro Region,Morogoro District,NA,NA,NA,0,0,2014-06-01,2015-10-31,2014,June,0,1,LS,NA,27,27,Matiko_etal_2018,https://doi.org/10.1371/journal.pntd.0006931,NA,Approximate location of outbreak determined by referencing Figure 1 in Matiko et al. 2018 and placing location near IgM-positive villages,37.772134,-6.779623
90,Tanzania,Mbeya Region,Kyela District,NA,NA,NA,0,0,2014-06-01,2015-10-31,2014,June,0,1,LS,NA,3,3,Matiko_etal_2018,https://doi.org/10.1371/journal.pntd.0006931,NA,Approximate location of outbreak determined by referencing Figure 1 in Matiko et al. 2018 and placing location near IgM-positive villages,33.829551,-9.606575
NA,Tanzania,Mbeya Region,Kyela District,NA,NA,NA,0,0,2015-09-01,NA,2015,September,0,1,LS,NA,1,1,Salekwa_etal_2019,https://doi.org/10.4269/ajtmh.18-0798,NA,"Somewhat ambiguous, but the text seems to indicate that the Kyela District was the sole District sampled within the Mbeya Region",33.941024746901334,-9.49086779320631
92,Tanzania,Kilimanjaro Region,Moshi District,NA,NA,NA,0,0,2018-05-16,NA,2018,May,1,1,HU_LS,1,11,12,deGlanville_etal_2022,https://doi.org/10.1093/trstmh/trac076,NA,Livestock cases reported in Arusha Chini and Kindi Wards in de Glanville et al. 2022; Associated human case reported in Kilema Kusini Ward in Madut et al. 2024,37.50873566837761,-3.241645257568533
92,Tanzania,Kilimanjaro Region,Moshi Urban District,NA,NA,NA,0,0,2018-07-03,NA,2018,July,1,1,HU_LS,1,1,2,deGlanville_etal_2022,https://doi.org/10.1093/trstmh/trac076,NA,Livestock case reported in Rau Ward in de Glanville et al. 2022; Associated human case reported in Pasua Ward in Madut et al. 2024,37.36802783493614,-3.3545492392052267
92,Tanzania,Kilimanjaro Region,Hai District,NA,NA,NA,0,0,2018-07-15,NA,2018,July,1,1,HU_LS,1,2,3,deGlanville_etal_2022,https://doi.org/10.1093/trstmh/trac076,NA,Livestock cases reported in Machame Mashariki Ward in de Glanville et al. 2022; Associated human case reported in Hai Mjini Ward in Madut et al. 2024,37.1703276586682,-3.23905858995745
NA,Tanzania,Manyara Region,Simanjiro District,NA,NA,NA,0,0,2018-07-01,NA,2018,July,1,0,HU,1,NA,1,Madut_etal_2024,https://doi.org/10.1093/infdis/jiae562 ,NA,"Assuming a July start date for this outbreak, but it's a little unclear",37.687123346264976,-4.889224884709243
93,Tanzania,Kigoma Region,Buhigwe District,NA,NA,NA,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,2,NA,2,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,NA,Includes both community-based and health facility-based sampling; Additional case data attested in Rugarabamu et al. 2022 (assuming these two studies have distinct sampling pools),29.845864480335038,-4.693601838593344
94,Tanzania,Dar es Salaam Region,Kinondoni District,NA,NA,NA,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,6,NA,6,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,NA,Includes both community-based and health facility-based sampling; Additional case data attested in Rugarabamu et al. 2022 (assuming these two studies have distinct sampling pools),39.15263027833664,-6.581340739598949
95,Tanzania,Morogoro Region,Mvomero District,NA,NA,NA,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,2,NA,2,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,NA,Includes both community-based and health facility-based sampling; Additional case data attested in Rugarabamu et al. 2022 (assuming these two studies have distinct sampling pools),37.47458395153405,-5.900180487276984
96,Tanzania,Mbeya Region,Kyela District,NA,NA,NA,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,1,NA,1,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,NA,Includes both community-based and health facility-based sampling,33.982969683841404,-9.460993576341416
97,Tanzania,Dodoma Region,Kondoa District,NA,NA,NA,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,2,NA,2,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,NA,Includes both community-based and health facility-based sampling; Additional case data attested in Rugarabamu et al. 2022 (assuming these two studies have distinct sampling pools),35.8077524891999,-4.779017647418131
98,Tanzania,Tanga Region,Kilindi District,NA,NA,NA,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,2,NA,2,Rugarabamu_etal_2021,https://doi.org/10.1016/j.ijid.2021.07.006,NA,Includes both community-based and health facility-based sampling; Additional case data attested in Rugarabamu et al. 2022 (assuming these two studies have distinct sampling pools),37.33117206447372,-5.663884207573475
NA,Tanzania,Rukwa Region,Kalambo District,NA,NA,NA,0,1,2018-06-01,2018-11-30,2018,June,1,0,HU,1,NA,1,Rugarabamu_etal_2022,https://doi.org/10.1186/s40249-022-00959-z,NA,Health facility-based sampling,31.72982331609902,-8.46718944851805
