variable,year,min,mean,max,n_missing,prop_missing
c3ann,2030,0,0.059,0.542,12939,0.104
c3ann,2050,0,0.068,0.61,12939,0.104
c3ann,2070,0,0.073,0.638,12939,0.104
c3nfx,2030,0,0.035,0.355,12939,0.104
c3nfx,2050,0,0.04,0.379,12939,0.104
c3nfx,2070,0,0.045,0.387,12939,0.104
c3per,2030,0,0.033,0.379,12939,0.104
c3per,2050,0,0.036,0.4,12939,0.104
c3per,2070,0,0.038,0.432,12939,0.104
c4ann,2030,0,0.068,0.516,12939,0.104
c4ann,2050,0,0.079,0.516,12939,0.104
c4ann,2070,0,0.088,0.545,12939,0.104
c4per,2030,0,0.002,0.034,12939,0.104
c4per,2050,0,0.002,0.042,12939,0.104
c4per,2070,0,0.002,0.047,12939,0.104
human_pop,2030,0,117.016,30847.82,18160,0.146
human_pop,2050,0,179.48,35998.863,18160,0.146
human_pop,2070,0,242.585,35571.379,18161,0.146
pastr,2030,0,0.241,0.932,12939,0.104
pastr,2050,0,0.268,0.97,12939,0.104
pastr,2070,0,0.273,0.974,12939,0.104
primf,2030,0,0.015,0.839,12939,0.104
primf,2050,0,0.007,0.678,12939,0.104
primf,2070,0,0.003,0.639,12939,0.104
primn,2030,0,0.125,0.934,12939,0.104
primn,2050,0,0.081,0.857,12939,0.104
primn,2070,0,0.039,0.811,12939,0.104
range,2030,0,0.17,0.95,12939,0.104
range,2050,0,0.188,0.991,12939,0.104
range,2070,0,0.188,0.992,12939,0.104
secdf,2030,0,0.03,0.928,12939,0.104
secdf,2050,0,0.026,0.851,12939,0.104
secdf,2070,0,0.021,0.805,12939,0.104
secdn,2030,0,0.168,0.871,12939,0.104
secdn,2050,0,0.148,0.832,12939,0.104
secdn,2070,0,0.172,0.79,12939,0.104
secma,2030,1,25.2,580.5,12939,0.104
secma,2050,1,16.289,595.817,12939,0.104
secma,2070,1,6.971,558.354,12939,0.104
secmb,2030,0,0.955,12.651,12939,0.104
secmb,2050,0,0.742,8.91,12939,0.104
secmb,2070,0,0.501,10.083,12939,0.104
urban,2030,0,0.003,0.182,12939,0.104
urban,2050,0,0.006,0.183,12939,0.104
urban,2070,0,0.008,0.188,12939,0.104
