variable,year,min,mean,max,n_missing,prop_missing
c3ann,2030,0,0.051,0.454,12939,0.104
c3ann,2050,0,0.052,0.454,12939,0.104
c3ann,2070,0,0.05,0.449,12939,0.104
c3nfx,2030,0,0.031,0.314,12939,0.104
c3nfx,2050,0,0.032,0.316,12939,0.104
c3nfx,2070,0,0.03,0.316,12939,0.104
c3per,2030,0,0.036,0.502,12939,0.104
c3per,2050,0,0.038,0.51,12939,0.104
c3per,2070,0,0.04,0.511,12939,0.104
c4ann,2030,0,0.061,0.51,12939,0.104
c4ann,2050,0,0.061,0.509,12939,0.104
c4ann,2070,0,0.055,0.449,12939,0.104
c4per,2030,0,0.002,0.223,12939,0.104
c4per,2050,0,0.005,0.339,12939,0.104
c4per,2070,0,0.023,0.599,12939,0.104
human_pop,2030,0,101.993,27934.562,18160,0.146
human_pop,2050,0,129.737,30472.566,18160,0.146
human_pop,2070,0,144.741,31803.51,18161,0.146
pastr,2030,0,0.184,0.91,12939,0.104
pastr,2050,0,0.159,0.908,12939,0.104
pastr,2070,0,0.112,0.844,12939,0.104
primf,2030,0,0.021,0.877,12939,0.104
primf,2050,0,0.016,0.844,12939,0.104
primf,2070,0,0.013,0.844,12939,0.104
primn,2030,0,0.193,0.997,12939,0.104
primn,2050,0,0.172,0.997,12939,0.104
primn,2070,0,0.156,0.997,12939,0.104
range,2030,0,0.118,0.899,12939,0.104
range,2050,0,0.106,0.899,12939,0.104
range,2070,0,0.09,0.899,12939,0.104
secdf,2030,0,0.034,0.965,12939,0.104
secdf,2050,0,0.038,0.962,12939,0.104
secdf,2070,0,0.042,0.961,12939,0.104
secdn,2030,0,0.215,1,12939,0.104
secdn,2050,0,0.262,0.999,12939,0.104
secdn,2070,0,0.329,0.999,12939,0.104
secma,2030,1,27.516,580.5,12939,0.104
secma,2050,1,25.461,600.5,12939,0.104
secma,2070,1,25.344,558.354,12939,0.104
secmb,2030,0,1.067,12.651,12939,0.104
secmb,2050,0,1.09,12.659,12939,0.104
secmb,2070,0,1.196,11.117,12939,0.104
urban,2030,0,0.004,0.183,12939,0.104
urban,2050,0,0.008,0.215,12939,0.104
urban,2070,0,0.011,0.236,12939,0.104
